UF,City,ID
AC,Acrelândia,Q953086
AC,Assis Brasil,Q1754403
AC,Brasiléia,Q899406
AC,Bujari,Q1754408
AC,Capixaba,Q1800737
AC,Cruzeiro do Sul,Q941136
AC,Epitaciolândia,Q1755395
AC,Feijó,Q1994833
AC,Jordão,Q1800793
AC,Manoel Urbano,Q1772688
AC,Marechal Thaumaturgo,Q1772613
AC,Mâncio Lima,Q1772621
AC,Plácido de Castro,Q964075
AC,Porto Acre,Q1772602
AC,Porto Walter,Q1772588
AC,Rio Branco,Q171612
AC,Rodrigues Alves,Q1800776
AC,Santa Rosa do Purus,Q1772719
AC,Sena Madureira,Q1754389
AC,Senador Guiomard,Q771763
AC,Tarauacá,Q979910
AC,Xapuri,Q1012531
AL,Anadia,Q2028005
AL,Arapiraca,Q626175
AL,Atalaia,Q928274
AL,Barra de Santo Antônio,Q1795908
AL,Barra de São Miguel,Q2027348
AL,Batalha,Q2028288
AL,Belo Monte,Q1795566
AL,Belém,Q2028301
AL,Boca da Mata,Q1772672
AL,Branquinha,Q2021035
AL,Cacimbinhas,Q1808791
AL,Cajueiro,Q2019063
AL,Campestre,Q2028637
AL,Campo Alegre,Q2028275
AL,Campo Grande,Q1814259
AL,Canapi,Q1796020
AL,Capela,Q1955261
AL,Carneiros,Q1808880
AL,Chã Preta,Q2021044
AL,Coité do Nóia,Q1816142
AL,Colônia Leopoldina,
AL,Coqueiro Seco,Q1816094
AL,Coruripe,Q1796426
AL,Craíbas,Q1795950
AL,Delmiro Gouveia,Q22024823
AL,Dois Riachos,Q22024873
AL,Estrela de Alagoas,Q1795573
AL,Feira Grande,Q520936
AL,Feliz Deserto,Q649495
AL,Flexeiras,Q1816177
AL,Girau do Ponciano,Q768122
AL,Ibateguara,Q2021130
AL,Igaci,Q1808097
AL,Igreja Nova,Q594183
AL,Inhapi,Q2021140
AL,Jacaré dos Homens,Q1816248
AL,Jacuípe,Q1808734
AL,Japaratinga,Q1808087
AL,Jaramataia,Q1815918
AL,Jequiá da Praia,Q1808524
AL,Joaquim Gomes,Q2027123
AL,Jundiá,Q2020978
AL,Junqueiro,Q1808328
AL,Lagoa da Canoa,Q1795976
AL,Limoeiro de Anadia,Q961349
AL,Maceió,Q168888
AL,Major Isidoro,Q1808271
AL,Mar Vermelho,Q2028214
AL,Maragogi,Q971736
AL,Maravilha,Q1814508
AL,Marechal Deodoro,Q985275
AL,Maribondo,Q2021217
AL,Mata Grande,Q2027641
AL,Matriz de Camaragibe,Q2013614
AL,Messias,Q2028160
AL,Minador do Negrão,Q767029
AL,Monteirópolis,Q2013634
AL,Murici,Q1795628
AL,Novo Lino,Q1816167
AL,Olho d'Água Grande,Q1795548
AL,Olho d'Água das Flores,Q1815966
AL,Olho d'Água do Casado,Q1808294
AL,Olivença,Q950712
AL,Ouro Branco,Q2355814
AL,Palestina,Q511396
AL,Palmeira dos Índios,Q948268
AL,Pariconha,Q1795935
AL,Paripueira,Q1795979
AL,Passo de Camaragibe,Q1772652
AL,Paulo Jacinto,
AL,Penedo,Q1772658
AL,Piaçabuçu,Q1772595
AL,Pilar,Q2013557
AL,Pindoba,Q1800867
